 
 $$$$$$\                                           $$$$$$\  $$\   $$\ 
$$  __$$\                                         $$ ___$$\ $$ |  $$ |
$$ //  \__| $$$$$$\  $$\   $$\  $$$$$$\   $$$$$$\  \_/   $$ |$$ |  $$ |
$$ |$$$$\ $$  __$$\ $$ |  $$ |$$  __$$\ $$  __$$\   $$$$$ / $$$$$$$$ |
$$ |\_$$ |$$ |  \__|$$ |  $$ |$$ /  $$ |$$ /  $$ |  \___$$\ \_____$$ |
$$ |  $$ |$$ |      $$ |  $$ |$$ |  $$ |$$ |  $$ |$$\   $$ |      $$ |
\$$$$$$  |$$ |      \$$$$$$  |$$$$$$$  |\$$$$$$  |\$$$$$$  |      $$ |
 \______/ \__|       \______/ $$  ____/  \______/  \______/       \__|
                              $$ |                                    
                              $$ |                                    
                              $$ |                                    
                              $$ |                                    
                              \__|                                    
##########Major Tweets########## 
 
2017-09-19 19:06:55	2017-09-19 19:06:54	910218661729853440	26912703	tweet	es	que verga con su temblor con epicentro en puebla. que falta de consistencia.	0
 
2017-09-19 19:07:32	2017-09-19 18:44:21	910212987440455680	108740292	rt_root	es	tras el sismo, un edificio ubicado en las calles de río lerma y reforma de la cdmx se cayó https://t.co/clkpjatonp	201
 
2017-09-19 19:07:58	2017-09-19 19:07:57	910218926000402432	3252924282	tweet	es	@epn regresa a la ciudad de méxico para atender problemas por #sismo	0
 
2017-09-19 19:08:27	2017-09-19 19:08:26	910219047605858304	255091540	tweet	es	rt @albertort51: urgente | video - así se vivió el poderoso sismo de magnitud 7,1 en la sede de telemundo méxico en méxico d.f.…	0
 
2017-09-19 19:09:10	2017-09-19 19:04:58	910218172694958080	87818409	quote	en	mexico earthquake: powerful tremor hits on anniversary of major 1985 quake https://t.co/hfbol9rzse	50
 
2017-09-19 19:10:03	2017-09-19 19:07:13	910218739479666688	362473815	rt_root	es	según el sismológico hubo dos sismos. el primero de 6.8 en puebla, el segundo de 7.2 en morelos. con 4 mins de diferencia	51
 
2017-09-19 19:11:10	2017-09-19 18:48:35	910214051740909568	85437334	rt_root	es	estamos evaluando daños, vecinos les pedimos reportar y mantenerse alejados de los riesgos #sismo	32
 
2017-09-19 19:11:36	2017-09-19 18:50:32	910214543133089793	38941594	quote	es	#tenemossismo uno de los grandes temblores que he percibido en #cdmx #televisa san �?ngel todos bien https://t.co/xnbnuas66n	7
 
2017-09-19 19:13:14	2017-09-19 19:13:13	910220251371130880	1608898890	tweet	en	retweeted hawaii news now (@hawaiinewsnow): no tsunami threat to hawaii after 7.1 quake hits mexico:... https://t.co/y3p8yozlii	0
 
2017-09-19 19:13:44	2017-09-19 18:53:37	910215319955832833	3362582052	rt_root	es	#terremoto en la #cdmx se originó a las 13:14:40 tuvo una magnitud de 7.1. edificios colapsados. a 32 años del magn… https://t.co/pkmr58pwdr	52
 
2017-09-19 19:14:11	2017-09-19 18:38:43	910211568167739393	236602067	rt_root	es	#tenemossismo daños en el primer cuadro de la ciudad de #puebla tras terremoto https://t.co/hwwl2ah6qd https://t.co/wzegthcluy	52
 
2017-09-19 19:14:37	2017-09-19 06:23:38	910026580746919938	168850629	rt_root	en	earthquake scared the hell out of me. i thought someone was trying to hit a lick! ?	317
 
2017-09-19 19:16:18	2017-09-19 19:12:30	910220071724896256	244318563	rt_root	es	#almomento levantan escombros de un edificio para buscar personas atrapadas. #cdmx #sismo #temblor https://t.co/wdqdgcej0i	29
 
2017-09-19 19:16:50	2017-09-19 19:16:49	910221157374337026	1025784613	tweet	es	rt @osoriochong: les suplicamos salir de sus edificios, seguir indicaciones de protección civil. #sismo https://t.co/mre1kdwhvo	0
 
2017-09-19 19:17:47	2017-09-19 19:10:03	910219452641271809	827001291096354816	rt_root	es	cómo rayos le hace la gente para tuitear durante el #sismo¿? yo sigo shockeada y ya pasó un buen rato	1
 
2017-09-19 19:18:13	2017-09-19 19:16:36	910221102357426177	18112970	rt_root	en	#breaking video: boats being tossed around on a river during huge mexico earthquake https://t.co/gwqes5uxqp	20
 
2017-09-19 19:18:59	2017-09-19 18:41:05	910212165734461442	16001193	rt_root	es	terremoto en mexico. justo 32 años después del terremoto del 85. edificios caidos en la roma y condesa. https://t.co/yocnza5shw	8
 
2017-09-19 19:19:44	2017-09-19 19:11:54	910219921119940609	211204334	rt_root	es	espantoso terremoto sacude a méxico 7.1 de magnitud. daños a estructuras en zona sur y suspenden actividad en aeropuerto de ciudad de méxico	11
 
2017-09-19 19:20:54	2017-09-19 19:20:53	910222180746752001	59960687	tweet	es	rt @carlosvinicioar: el sismo en xochimilco, terrible. https://t.co/tf3qarbypt	0
 
2017-09-19 19:22:52	2017-09-19 18:54:04	910215429926391808	2943463768	rt_root	es	¡última hora! #sismo de 7.1 grados sacude ciudad de #méxico. https://t.co/vfyamotznk	28
 
2017-09-19 19:23:20	2017-09-19 19:06:56	910218670873485312	2654842206	rt_root	es	estragos del sismo en colonia roma, #cdmx https://t.co/pvjl8xivta	71
 
2017-09-19 19:23:59	2017-09-19 19:23:58	910222956722343936	569289172	tweet	es	¡apocalíptico! así luce ciudad de méxico tras el terremoto de 7,1 grados [video + fotos] https://t.co/bxnvsqr5kd	0
 
2017-09-19 19:25:33	2017-09-19 18:21:08	910207142593912832	3178419672	rt_root	es	tiembla fuerte justamente hoy, 19 de septiembre, a 32 años de aquel sismo de 1985.	1169
 
2017-09-19 19:26:22	2017-09-19 19:26:21	910223556478406656	811447770452201472	tweet	es	rt @debryanshow: ocurren derrumbes de edificios en la ciudad de méxico. #temblorcdmx #sismo85 https://t.co/awhlsqazrh	0
 
2017-09-19 19:27:02	2017-09-19 18:19:14	910206666804785163	107329644	rt_root	es	alarma sismo mega cabron @laromadf se cayo un edificio insurgentes y viaducto ayuda !!! #sismo https://t.co/zgvver5a7w	110
 
2017-09-19 19:27:54	2017-09-19 19:27:53	910223942392180738	707250889174585344	tweet	es	rt @excelsior: así se vio la cdmx desde las alturas segundos después del sismo de este medio día. https://t.co/owdagcjiiv	0
 
2017-09-19 19:28:23	2017-09-19 19:28:22	910224064014376960	2873503909	tweet	es	rt @metmex: como de película. así se vivió el sismo de magnitud 7.1 en #xochimilco, terrible. vía @carlosvinicioar https://t.co/h6orxzl1md	0
 
2017-09-19 19:30:41	2017-09-19 19:30:40	910224642811551744	115213822	tweet	en	rt @breakingnnow: #breaking: here is the moment when the earthquake struck mexico city. (video by @alertachiapas) https://t.co/dfecxf7nob	0
 
2017-09-19 19:31:56	2017-09-19 19:20:47	910222156851810310	892527435455111173	rt_root	es	??? #terremoto una turista graba en un bote ? en el momento exacto en que ocurre el #sismo en méxico city https://t.co/rc66hulus7	77
 
2017-09-19 19:32:22	2017-09-19 19:26:04	910223482830639105	746387971931267072	rt_root	es	#ultimahora sismo de 7.1 sacude méxico el dia que se cumplen 32 años del gran terremoto #ensegundos #méxico #mundo… https://t.co/tympwgqjt1	7
 
2017-09-19 19:34:27	2017-09-19 19:29:46	910224413685100545	162560761	rt_root	es	por favor, compartan los teléfonos de emergencia: 911, locatel 5658-1111. bomberos 5768-2532. fugas: 5654-3210. cruz roja: 065 #sismo	12
 
2017-09-19 19:35:54	2017-09-19 19:32:41	910225150993367040	540205085	rt_root	es	reportan varios derrumbes en la cdmx tras sismo de 7.1 grados https://t.co/xuftrvvvyx https://t.co/umonkgwhox	2
 
2017-09-19 19:36:41	2017-09-19 19:28:51	910224185724518401	65396192	rt_root	es	perspectiva area después del #sismo en la ciudad de méxico. se reportan edificios caídos y fugas de gas. https://t.co/ppyxsejmxx méxico city	20
 
2017-09-19 19:37:21	2017-09-19 18:55:40	910215834676625413	56143911	rt_root	es	#tenemossismo en la cdmx reportan bardas caídas https://t.co/njoeiaegvd https://t.co/6xa60apbwz	32
 
2017-09-19 19:40:44	2017-09-19 19:37:04	910226251318796289	100731315	rt_root	es	última hora: reportan fugas de gas e incendios en la ciudad de méxico tras el terremoto de 7,1… https://t.co/hhmizq12ts	124
 
2017-09-19 19:42:10	2017-09-19 19:42:08	910227528492691458	3121786742	tweet	es	terremoto despierta a habitantes de los �?ngeles https://t.co/hxfsgjcjpe https://t.co/1gxmr0ybag	0
 
2017-09-19 19:45:21	2017-09-19 19:38:37	910226644086005763	17050594	quote	en	the #mexicoearthquake drops building instantly. https://t.co/hb62flcqwk	11
 
2017-09-19 19:46:39	2017-09-19 19:46:38	910228660967243777	294465180	tweet	es	rt @playmakersmx: ?atención ? se reporta una explosión de gas tras el sismo en la #cdmx vía @javierpadillas https://t.co/yzkjc8utio	0
 
2017-09-19 19:48:04	2017-09-19 19:20:33	910222096927731712	229334332	rt_root	es	vídeo de hace uno minutos en #mexico. un terremoto de 7.1 afecto el país azteco en el día de hoy. https://t.co/fvztnnmxtj	27
 
2017-09-19 19:48:32	2017-09-19 19:36:17	910226056212295680	257057832	rt_root	es	momentos en que cae un edifico en la ciudad de #mexico tras el fuerte #sismo de 7.1 escala de richter https://t.co/bmfaelavnc	242
 
2017-09-19 19:49:58	2017-09-19 18:45:31	910213281662537729	789705516	rt_root	es	importantes afectaciones en la carretera méxico-cuernavaca. servicio sismológico nacional reportó temblor de magnit… https://t.co/6xi2vifvla	72
 
2017-09-19 19:53:00	2017-09-19 19:33:54	910225457030803456	2929576361	rt_root	es	terremoto en la ciudad de mexico https://t.co/al6gcsdqn2	188
 
2017-09-19 19:53:39	2017-09-19 19:07:50	910218894241030144	846928145244663808	rt_root	es	ante emergencias derivadas del sismo registrado esta tarde ponemos a tu disposición el 9-1-1 https://t.co/y24awoscva	14
 
2017-09-19 19:54:12	2017-09-19 19:54:11	910230560991215616	1317347384	tweet	en	rt @nivisa4031: ?breaking news ?buildings collapse, thousands take to the street after powerful quake shakes mexico city…	0
 
2017-09-19 19:55:20	2017-09-19 19:55:19	910230846178816000	835721642	tweet	es	rt @cruzrojabogota: nunca sabemos cuándo va a ocurrir un #sismo. debemos estar siempre preparados y #cruzroja te brinda recomendaciones…	0
 
2017-09-19 19:56:47	2017-09-19 19:47:56	910228986005004289	15791186	rt_root	en	a powerful 7.1 magnitude earthquake strikes central mexico today on the anniversary of the 1985 quake. getty images… https://t.co/5oyzmjfyqz	10
 
2017-09-19 19:57:21	2017-09-19 12:15:07	910115033367097344	182418094	rt_root	es	1985|un terremoto de 8.1° richter devasta la ciudad de méxico. https://t.co/hewsr6wndf	284
 
2017-09-19 19:57:47	2017-09-19 19:33:02	910225239136751616	68719870	quote	es	el momento en que cae un edificio en cd.mx. #temblor https://t.co/qbqixrmsqq	70
 
2017-09-19 19:58:26	2017-09-19 19:58:25	910231626327691266	142748609	tweet	es	rt @actualidadrt: detalles: los residentes de méxico han sufrido cortes de energía y fugas de gas tras el sismo…	0
 
2017-09-19 19:58:52	2017-09-19 19:58:51	910231735387906048	245456572	tweet	es	rt @marthadebayle: desde las calle paseo de la reforma en #cdmxsismo https://t.co/qvknplji5s	0
 
2017-09-19 19:59:56	2017-09-19 19:52:30	910230135705653254	148154923	rt_root	en	this earthquake in mexico city occurred on the anniversary of the 1985 quake and 2 hrs after a drill.?	1
 
2017-09-19 20:06:43	2017-09-19 19:15:11	910220745829081089	25401359	rt_root	es	fuerte temblor sacudió esta tarde a la #cdmx, así se vivió el momento en que inició el movimiento. https://t.co/uxa7hfqkr0	877
 
2017-09-19 20:08:55	2017-09-19 20:08:54	910234264565776384	351837262	tweet	es	rt @ntelevisa_com: fuerte temblor sacudió esta tarde a la #cdmx, así se vivió el momento en que inició el movimiento. https://t.co/uxa7hfqk…	0
 
2017-09-19 20:10:44	2017-09-19 20:10:43	910234721719930884	2574059371	tweet	es	rt @albertort51: urgente | video - momentos en que cae un edifico en la ciudad de méxico, tras el fuerte sismo de 7.1 escala de rich…	0
 
2017-09-19 20:13:47	2017-09-19 19:43:32	910227878314483714	1446830096	rt_root	und	#tenemossismo #sismocdmx #sismo https://t.co/dlxpeyipg9	168
 
2017-09-19 20:14:43	2017-09-19 20:14:42	910235724171010048	2322074414	tweet	es	rt @chochos: muchas oraciones para la ciudad de méxico. ?#sismo https://t.co/o7ra6wiguy	0
 
2017-09-19 20:16:16	2017-09-19 20:16:15	910236114258100225	74035788	tweet	es	rt @actualidadrt: video: impactante explosión tras el terremoto de magnitud 7,1 en méxico https://t.co/k9ztecj5aa	0
 
2017-09-19 20:17:52	2017-09-19 20:17:51	910236516877815813	369141745	tweet	es	rt @borrachosvip: rt porfa ?? #prayformexico sismo ciudad de méxico #cdmx https://t.co/h5a4g8cane	0
 
2017-09-19 20:18:38	2017-09-19 20:18:37	910236709840936960	57413254	tweet	es	rt @xbalam3: #sismo cdmx es ciudad caótica, no funcionan los semáforos, si pueden eviten conducir	0
 
2017-09-19 20:19:07	2017-09-19 20:19:06	910236831479865344	3931655474	tweet	es	rt @chochos: se necesita ayuda en el tec de monterrey campus ciudad de méxico. difundir. #sismo https://t.co/34nmsmhc08	0
 
2017-09-19 20:21:04	2017-09-19 20:15:39	910235961484771328	73037882	rt_root	es	se necesitan vendas, alcohol, suero en �?lvaro obregón cerca de la semovi #sismo #cdmx	7
 
2017-09-19 20:22:11	2017-09-19 20:22:10	910237603206660097	511066837	tweet	en	amazing. i was in a wee earthquake in 2011, 5.9 magnitude 200 miles away from the epicentre. stood in a finished ba… https://t.co/36nl83pbgw	0
 
2017-09-19 20:24:01	2017-09-19 18:47:57	910213893800316928	19778050	rt_root	en	powerful 7.1 magnitude earthquake rocks mexico city. https://t.co/1wl9adu7rw https://t.co/w3jqpaeu9e	3
 
2017-09-19 20:25:02	2017-09-19 20:25:00	910238316267573248	17575346	tweet	en	rt @drlucyjones: no connection between mexican quakes and westwood. a m3.6 can only trigger quakes within a few miles.	0
 
2017-09-19 20:25:48	2017-09-19 20:25:47	910238513387458565	3301865389	tweet	es	rt @chochos: se necesita ayuda en el tec de monterrey campus ciudad de méxico. difundir. #sismo https://t.co/34nmsmhc08	0
 
2017-09-19 20:27:27	2017-09-19 19:52:13	910230064502947841	2369296350	rt_root	es	estamos a las órdenes para cualquier cosa en la que podamos ayudar. fuerza, cdmx. #terremotomx	7
 
2017-09-19 20:27:55	2017-09-19 19:39:56	910226972596416513	124779370	rt_root	es	terrible el terremoto en méxico https://t.co/1e8jee5m2w	75
 
2017-09-19 20:28:38	2017-09-19 20:28:37	910239226410696706	324109361	tweet	es	rt @actualidadrt: video: fuerte explosión en una fábrica de la ciudad de méxico tras una fuga de gas producto del terremoto de 7,1…	0
 
2017-09-19 20:29:08	2017-09-19 20:25:08	910238349431943168	15130729	rt_root	es	asaltos por upaep y vía atlixcayotl, con cuidado, no respetan y están aprovechándose de la situación. #puebla #sismo @guarromantico_	1
 
2017-09-19 20:29:46	2017-09-19 19:48:58	910229248635494403	293839843	rt_root	en	another video out of mexico city of a building collapse during the quake. i don't know who the source of the video… https://t.co/tnl8jk0fqu	85
 
2017-09-19 20:30:33	2017-09-19 20:30:32	910239708780707840	1247767094	tweet	es	rt @chingoncini: si alguien ocupa a donde sea la llevo sin costo mide 15 metros de alto quiero ayudar ?#temblor https://t.co/ymhw0wfadz	0
 
2017-09-19 20:31:23	2017-09-19 20:31:22	910239918496116736	1365241633	tweet	es	y el amor de mi vida en medio del temblor, ya sé que está bien pero es feo recibir noticias de que alguien querido pudiera estar en peligro?	0
 
2017-09-19 20:32:35	2017-09-19 20:26:06	910238591745429510	176699132	rt_root	es	#puebla necesito reportes de la zona de la 9 sur y 43 poniente , no puedo localizar a una persona y no puedo acercarme a la zona rt? #sismo	23
 
2017-09-19 20:33:26	2017-09-19 20:33:25	910240434357784577	2508465043	tweet	es	peña nieto realizará sobrevuelo en la cdmx tras sismo https://t.co/81qubdepnb	0
 
2017-09-19 20:33:52	2017-09-19 20:33:51	910240543409504256	4715180533	tweet	es	rt @mirandamendes98: personas reúnen para ayudar a mover escombros en la cdmx en busca de sobrevientes #tenemossismo #prayformexico…	0
 
2017-09-19 20:34:52	2017-09-19 20:34:51	910240795093012480	1525330321	tweet	es	rt @chingoncini: amigos tengo 2 gruas disponibles de 7 toneladas tipo hiab, si alguien las ocupa están disponibles sin ningún costo #temblor	0
 
2017-09-19 20:35:27	2017-09-19 20:25:46	910238509008424966	148969584	rt_root	es	cdmx ?? rt ⚠�? cruz roja 065 ? servicio de emergencias 911 ? bomberos 068 ? policía (emergencia) 060 ? no fumen, hay fugas de gas. ? #sismo	40
 
2017-09-19 20:36:00	2017-09-19 20:22:43	910237741874601985	3265580810	quote	es	@copacoronamx aparte del temblor también la fmf perjudica a los mexicanos, los que hicieron viajes para jugar o ver… https://t.co/fdhmbhitem	2
 
2017-09-19 20:36:35	2017-09-19 20:03:15	910232840251490304	8105922	quote	es	terremoto en méxico: el momento en que se derrumba un edificio y otros 9 videos dramáticos https://t.co/hfscreaodm https://t.co/156xlxc3sk	30
 
2017-09-19 20:37:01	2017-09-19 20:30:05	910239593555021825	40415457	rt_root	en	breaking news: building collapse this afternoon in mexico city after magnitude 7.1 earthquake. video via… https://t.co/cadsndexti	56
 
2017-09-19 20:38:44	2017-09-19 19:24:40	910223131125547008	491875517	rt_root	es	después del #sismo es importante la revisión del inmueble, sí presenta daños estructurales, !no ingresé! en todo mo… https://t.co/xi9oh0qj6d	89
 
2017-09-19 20:42:00	2017-09-19 20:41:59	910242588367769601	2840378924	rt_root	en	panic as deadly quake hits mexico city https://t.co/svkuiqjerb https://t.co/ryw5qrjibo	1
 
2017-09-19 20:42:27	2017-09-19 20:42:26	910242703480426496	229134580	tweet	es	rt @mariabonita_81: instante del temblor #sismo noticiero en vivo https://t.co/ektnk4dqsr	0
 
2017-09-19 20:42:57	2017-09-19 20:35:55	910241061255221248	236602067	rt_root	es	en angelópolis la gente salió a la avenida para ponerse a salvo. #sismopuebla https://t.co/m0xeh9sdry https://t.co/kpnkypc4rq	3
 
2017-09-19 20:43:47	2017-09-19 19:35:23	910225829237542913	43636912	rt_root	es	? preciso instante en que explota un edificio #terremotomexico https://t.co/kyal5tzfbz	72
 
2017-09-19 20:44:45	2017-09-19 20:44:44	910243282311053312	3265567658	tweet	es	rt @daniellbautista: despejen las calles y no fumen!!! porfavor ?? #sismo	0
 
2017-09-19 20:46:04	2017-09-19 18:48:18	910213979863121920	16676396	rt_root	es	¿sintieron el #sismo? mándanos tus fotos y videos https://t.co/ppln2qnwxq	143
 
2017-09-19 20:46:46	2017-09-19 20:46:43	910243781437399041	540408940	tweet	es	#últimahora 42 muertos en morelos tras sismo	0
 
2017-09-19 20:48:14	2017-09-19 20:48:13	910244158937358336	81609016	tweet	es	rt @unam_mx: teléfonos de emergencia: locatel 5658-1111 bomberos 5768-2532 fugas: 5654-3210 cruz roja: 065 #sismo	0
 
2017-09-19 20:49:38	2017-09-19 20:49:37	910244511221256193	3902507007	tweet	en	#breaking: reports say at least five dead after earthquake hits mexico city. #9news https://t.co/ihkrvyxkzc	0
 
2017-09-19 20:51:29	2017-09-19 18:32:42	910210052396666881	722950850	quote	es	#urgente: #terremoto de 6,8 grados richter sacude #méxico https://t.co/8sqo7ac1wp	22
 
2017-09-19 20:52:17	2017-09-19 20:52:16	910245178119786498	1557297547	tweet	es	rt @soynoviodetodas: a estos brother's no me los olviden por favor no sean culos. #sismo #prayformexico https://t.co/4sfcplp54z	0
 
2017-09-19 20:53:53	2017-09-19 20:51:16	910244925878521857	391835493	rt_root	es	si alguien ocupa a donde sea un amigo la lleva sin costo mide 15 metros de alto. queremos ayudar ?#temblor #sismo… https://t.co/rz6enh6lkl	49
 
2017-09-19 20:54:49	2017-09-19 20:52:10	910245151070736385	100731315	rt_root	es	fuertes im�?genes: así quedó méxico tras el devastador terremoto de magnitud 7,1 https://t.co/mq2nzihqp0 https://t.co/dt2q9voald	62
 
2017-09-19 20:55:23	2017-09-19 20:55:22	910245958277111809	1046209890	tweet	en	rt @ap: breaking: a powerful earthquake has shaken mexico city.	0
 
2017-09-19 20:56:26	2017-09-19 20:53:18	910245438107914242	1202156976	rt_root	es	aeroméxico informa: operaciones suspendidas en el @aicm_mx debido al #sismo registrado en la ciudad de méxico. https://t.co/ba3kvy4mbm	1
 
2017-09-19 20:56:55	2017-09-19 20:48:27	910244216827269122	95217117	rt_root	es	se reportan las primeras víctimas mortales por el terremoto en méxico https://t.co/frwc0ufpb5	9
 
2017-09-19 20:57:22	2017-09-19 20:57:21	910246457403432962	830310765638844416	tweet	es	rt @dosogas: fue el peor terremoto que hemos vivido en la historia, pero estamos bien! ojalá todos estén bien, les mandamos fuerzas	0
 
2017-09-19 20:58:17	2017-09-19 20:54:58	910245857374687233	159072956	rt_root	es	⚠impactante momento en que colapsa por completo un edificio en ciudad de méxico por el terremoto m7.1. https://t.co/79qna9nwmu	12
 
2017-09-19 20:59:07	2017-09-19 18:25:36	910208269460951043	487118986	rt_root	en	#breaking： strong earthquake shakes mexico city https://t.co/fmorskgchf	110
 
2017-09-19 21:05:26	2017-09-19 19:27:44	910223903997521920	733444416833101825	rt_root	es	se derrumba carretera hacía cuernavaca tras el terremoto @aristeguionline @unonoticias @webcamsdemexico… https://t.co/go7q3mi6w4	236
 
2017-09-19 21:06:15	2017-09-19 18:26:07	910208396585869317	814075772	rt_root	es	agosto: eclipse. septiembre: huracanes y terremotos. octubre: posible fin del mundo. noviembre: sin ti.	2165
 
2017-09-19 21:06:59	2017-09-19 18:27:25	910208722726563840	584548704	rt_root	es	mexico están bien?? me acabo de enterar del temblor!	530
 
